开课状态,课程名称,学分,考核方式,课程性质,任课教师,选课课号,起止周,开课学院,<td>上课时间</td>,<td>上课地点</td>,<td>合班信息</td>
已开,热工基础(甲),3,学校组织,学科必修,陈昌/刘敬彪,(2019-2020-2)-A0106720-41439-1,1月16日,机械工程学院,<td>周四第3.4.5节{第1-16周}</td>,<td>第6教研楼中309</td>,<td>18010114</td>
已开,数字电路与逻辑设计,3,学院组织,学科必修,骆泳铭,(2019-2020-2)-A0402230-41741-1,1月16日,电子信息学院（微电子学院）,"<td title=""周一第6.7节{第1-16周};周一第8节{第1-16周}"">周一第6.7节{第1-16周};周一第8...</td>","<td title=""第7教研楼中3021;第7教研楼中3021"">第7教研楼中3021;第7教研楼中302...</td>",<td>19270301.19270302</td>
已开,专业英语,2,学院组织,学科必修,石义芳,(2019-2020-2)-A060070s-41977-2,1月16日,自动化学院（人工智能学院）,<td>周一第10.11节{第1-16周}</td>,<td>第7教研楼南119</td>,<td>18062818</td>
已开,自动控制原理,4.5,学校组织,学科必修,彭冬亮,(2019-2020-2)-A0602300-40048-1,1月16日,自动化学院（人工智能学院）,"<td title=""周一第3.4.5节{第1-16周};周四第1.2节{第1-16周}"">周一第3.4.5节{第1-16周};周四...</td>",<td>第7教研楼北308;第6教研楼中315</td>,<td>18062813</td>
已开,概率论与数理统计,3,学校组织,通识必修,赵叶华,(2019-2020-2)-A0714040-04153-1,1月16日,理学院,<td>周一第3.4.5节{第1-16周}</td>,<td>第6教研楼北102</td>,<td>19063111.19063112</td>
已开,大学英语精读2A,2,学校组织,通识必修,于硕洋,(2019-2020-2)-A1101141-38041-2,1月16日,外国语学院,<td>周四第3.4节{第1-16周}</td>,<td>第7教研楼南311</td>,"<td title=""19151211.19151212.19151213.19151214.19151215.19151216.19151217.19151218.19200311.19200312.19208811.19208812.19208813.19270301.19270302.19272401.19272402.19273601.19273602"">19151211.19151212.19...</td>"
已开,大学英语听说2B,1,学校组织,通识必修,熊彩霞,(2019-2020-2)-A1101192-16047-9,1月8日,外国语学院,<td>周五第1.2节{第1-8周}</td>,<td>第3教研楼220</td>,"<td title=""19010611.19010612.19010613.19010614.19010615.19010616.19010617.19123811.19124011.19124012.19124111.19220211.19221911.19222511.19222512.19280711.19280712.19280811"">19010611.19010612.19...</td>"
已开,二外（日语）1,4,学校组织,通识必修,郭已晓,(2019-2020-2)-A1102841-40232-2,1月16日,外国语学院,"<td title=""周一第3.4节{第1-16周};周四第3.4节{第1-16周}"">周一第3.4节{第1-16周};周四第3...</td>",<td>第3教研楼314;第3教研楼314</td>,"<td title=""18113711.18113712.18113713.18113714"">18113711.18113712.18...</td>"
已开,管理会计(F2),4,学校组织,学科必修,吴舒涵,(2019-2020-2)-A140158s-41452-1,1月16日,会计学院,"<td title=""周二第1.2节{第1-16周};周四第1.2节{第1-16周}"">周二第1.2节{第1-16周};周四第1...</td>",<td>第3教研楼401;第3教研楼415</td>,<td>19140111.19140112</td>
已开,医学仪器原理及设计,3,学院组织,专业必修,刘珂舟,(2019-2020-2)-A1904380-41043-1,1月16日,自动化学院（人工智能学院）,<td>周一第3.4.5节{第1-16周}</td>,<td>第7教研楼南219</td>,<td>17198711</td>
